二级行业,细分领域,产品或研究方向
光电显示,Micro LED,Micro LED、AR设备、VR设备、数字车灯、光通信与传感、车载中控、抬头显示器、HUD
,Mini LED,MiniLED、MiniLED直显、Micro LED、MIP产品、COB、IMD
,硅基OLED,微型显示器、微型显示模组
,AMOLED,车载显示
,柔性OLED,柔性屏、OLED
,发光二极管,氮化镓、GaN、砷化镓、GaAs、磷化镓、GaP、磷砷化镓、GaAsP、氮化物半导体、量子点材料、有机材料（用于OLED）、钙钛矿材料
,QLED,量子点显示、磷化铟 、InP、硒化镉、CdSe
电池,动力锂电池,磷酸铁锂电池、三元锂电池、镍钴锰酸锂 、NCM、镍钴铝酸锂、NCA
,异质结太阳能电池,硅基异质结太阳能电池、有机-无机杂化异质结太阳能电池、氧化物异质结太阳能电池
,钙钛矿,钙钛矿光伏、钙钛矿组件、单晶硅太阳电池
光电器件,光学元器件,光学元器件、电荷耦合器件、CCD、互补金属氧化物半导体、CMOS、图像传感器、光纤光学元件
,光波导器件,半导体氧化物器件、光分路器、光耦合器、光调制器、光开关、光滤波器、光放大器、光波导传感器太赫兹光波导器件、量子光波导器件、可调谐光波导器件、多功能集成光波导器件
,激光器,半导体激光器、GaN基蓝、绿光激光器芯片、激光雷达、硅光薄膜铌酸锂光电集成、磷化铟激光器工艺集成
,硅光芯片,硅光芯片、硅基发光器件、硅基调制器、马赫-曾德尔干涉仪型调制器、微环谐振腔型调制器、硅基探测器、光波导器件、光耦合器、光分路器、硅光模块、光电共封装芯片、硅光子集成芯片、CPO
,光学透镜,衍射光学元件、微透镜阵列、光束整形器
,微波光子集成芯片,微波光子集成芯片、可加工光电器件、传感器件、滤波器件
,调制器,高速光调制器、光探测器、光放大器、微纳光子晶体器件、表面等离子体激光器件、片上电光调制器
,光波导器件,光波导器件、光通讯器件
,光电探测器,光电探测器、发光二极管、激光二极管、PD/APD/SPAD光电探测器芯片
,CIS,车规级 CIS 芯片、高端CIS、前照式图像传感器、背照式图像传感器、堆栈式图像传感器、FSI、BSI、Stacked
化合物半导体,宽禁带半导体,碳化硅、氮化镓、氧化镓、氮化铝、金刚石、SiC
,探测器芯片,AlGaN基日盲紫外探测器、SiC基紫外探测器、极紫外探测器、EUV
,激光芯片,GaAs、InP、光通讯、VCSEL、垂直腔面发射激光器、VCSEL、直接调制激光器、DML、外部调制激光器、EML、分布式反馈激光器、DFB、量子点激光器
逻辑芯片,成熟逻辑,CMOS、driver IC
,先进逻辑,FinFET、GAA、CFET
电源管理IC,PMIC,DC-DC转换器、AC-DC转换器、线性稳压器、LDO、充电管理芯片、电池电量监测芯片、功率因数校正芯片、负载开关、电压检测芯片、PFC、DC-DC、AC-DC
射频IC,RF,射频收发器、功率放大器、PA、低噪声放大器、LNA、滤波器、射频开关、天线调谐开关、频率综合器、混频器
先进存储,MRAM,开发高性能的磁随机存储芯片、MRAM、3D XRAM
,DRAM,先进 DRAM
,XRAM,
,NAND,3D NAND
功率器件,化合物半导体,高迁移率氮化镓功率器件、新型二维材料的制备及其器件研究、GaN 功率器件、碳化硅 MOSFET、氮化镓 HEMT 器件、宽禁带半导体材料及器件
,IGBT,
,IGCT,
传感器,生物传感,柔性电子器件基础理论与制造、柔性微系统与异质融合技术、柔性电子与装备一体化技术
,磁传感,研究磁电薄膜与微型器件、功率半导体器件及集成技术、电子聚合物与微结构传感器
,压力传感,
,加速度传感,
,光学传感器,
,力学传感器,
,生化传感器,
,先进存储图像传感器,图像传感器、工业或生物检测传感器
封装技术,先进封装,晶圆键合、异质晶圆堆叠、 Chiplet、SIP 、TSV、RDL、Bump、 WLCSP、PLP、2.5D、CoWoS、3D封装、hybrid bonding
